ZipCode,Latitude,Longitude
11220,40.6412,-74.0133
11224,40.5767,-73.9884
11231,40.6794,-74.0014
11224,40.5767,-73.9884
11231,40.6794,-74.0014
11233,40.6784,-73.9211
11235,40.5839,-73.9536
11208,40.6762,-73.8736
11215,40.6669,-73.9828
11208,40.6762,-73.8736
11220,40.6412,-74.0133
11238,40.679,-73.9644
11207,40.6705,-73.894
11205,40.6924,-73.9666
11209,40.6251,-74.0303
11237,40.7006,-73.918
11233,40.6784,-73.9211
11217,40.6816,-73.9798
11236,40.6407,-73.9028
11234,40.6205,-73.9239
11220,40.6412,-74.0133
11220,40.6412,-74.0133
11215,40.6669,-73.9828
11214,40.6016,-73.9968
11230,40.6225,-73.965
11211,40.7095,-73.9563
11224,40.5767,-73.9884
11231,40.6794,-74.0014
11225,40.6628,-73.9546
11225,40.6628,-73.9546
11205,40.6924,-73.9666
11208,40.6762,-73.8736
11210,40.6281,-73.9467
11233,40.6784,-73.9211
11223,40.5979,-73.9743
11224,40.5767,-73.9884
11214,40.6016,-73.9968
11232,40.6521,-74.0018
11226,40.6467,-73.957
11214,40.6016,-73.9968
11233,40.6784,-73.9211
11215,40.6669,-73.9828
11201,40.694,-73.9903
11212,40.6625,-73.9145
11212,40.6625,-73.9145
11236,40.6407,-73.9028
11201,40.694,-73.9903
11211,40.7095,-73.9563
11236,40.6407,-73.9028
11207,40.6705,-73.894
11207,40.6705,-73.894
11233,40.6784,-73.9211
11216,40.6794,-73.9496
11231,40.6794,-74.0014
11234,40.6205,-73.9239
11235,40.5839,-73.9536
11215,40.6669,-73.9828
11239,40.6497,-73.8824
11236,40.6407,-73.9028
11216,40.6794,-73.9496
11231,40.6794,-74.0014
11216,40.6794,-73.9496
11209,40.6251,-74.0303
11212,40.6625,-73.9145
11230,40.6225,-73.965
11220,40.6412,-74.0133
11201,40.694,-73.9903
11231,40.6794,-74.0014
11219,40.6336,-73.996
11214,40.6016,-73.9968
11233,40.6784,-73.9211
11236,40.6407,-73.9028
11234,40.6205,-73.9239
11233,40.6784,-73.9211
11218,40.6424,-73.9758
11214,40.6016,-73.9968
11208,40.6762,-73.8736
11220,40.6412,-74.0133
11233,40.6784,-73.9211
11201,40.694,-73.9903
11206,40.7012,-73.9436
11208,40.6762,-73.8736
11209,40.6251,-74.0303
11215,40.6669,-73.9828
11234,40.6205,-73.9239
11225,40.6628,-73.9546
11209,40.6251,-74.0303
11215,40.6669,-73.9828
11220,40.6412,-74.0133
